player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Julian Lewis,198304,QB,COLORADO,2,68.4,19,21,6.4,3.26,0,1,4.5,52.4,11,0,9,15.4,24,2,5,143,69.5,62.1,59.5,63.1,0,0,25,1,11.1,87.2,4.2,1,2,0,2,1,0,0.0,129,6.1
Alberto Mendoza,188673,QB,INDIANA,4,81.0,21,21,8.9,2.07,0,0,0.0,71.4,15,0,2,11.8,22,2,11,190,72.1,84.0,70.7,82.3,0,1,22,1,0.0,121.8,0.0,0,1,0,0,4,2,9.1,204,9.7
Zeon Chriss-Gremillion,156733,QB,HOUSTON,4,55.0,20,21,9.5,2.72,1,1,4.2,47.6,10,0,13,9.1,25,1,4,182,35.5,53.5,42.2,68.0,0,1,28,0,7.7,59.2,4.0,1,3,0,0,1,3,10.7,108,5.1
Darius Curry,191052,QB,COLO STATE,2,80.0,20,21,9.4,3.14,0,0,0.0,66.7,14,0,10,12.5,27,2,9,144,68.0,67.1,67.3,60.4,0,0,28,0,10.0,105.9,3.7,1,5,0,1,1,0,0.0,163,7.8
Hank Brown,172439,QB,IOWA,3,68.4,19,21,6.1,2.58,0,0,0.0,52.4,11,0,6,15.4,21,2,6,192,26.6,54.2,62.1,42.3,2,1,21,0,0.0,63.0,0.0,0,0,0,0,1,0,0.0,107,5.1
Michael Merdinger,183334,QB,LIBERTY,4,47.4,19,20,10.7,3.31,1,2,10.0,45.0,9,0,12,0.0,28,0,7,206,70.6,55.1,50.9,61.5,0,0,28,0,33.3,68.3,14.3,4,4,0,0,0,1,3.6,138,6.9
Evan Bullock,170452,QB,LA TECH,1,60.0,20,20,9.3,2.55,0,2,9.1,50.0,10,0,9,16.7,26,2,6,208,69.7,43.4,38.4,63.2,0,1,28,0,33.3,45.8,11.5,3,2,0,0,0,3,10.7,110,5.5
TJ Lateef,199810,QB,NEBRASKA,3,84.2,19,19,6.7,3.29,0,1,5.0,84.2,16,0,3,0.0,27,0,14,238,19.2,56.2,67.4,47.1,0,0,28,0,0.0,136.3,0.0,0,8,0,0,1,1,3.6,261,13.7
Landyn Locke,199937,QB,SM HOUSTON,2,70.6,17,19,6.9,2.8,0,0,0.0,57.9,11,0,7,8.3,21,1,5,281,68.0,43.6,45.2,54.7,0,0,22,0,14.3,91.6,4.8,1,1,0,2,1,1,4.5,108,5.7
CJ Montes,146114,QB,KENT STATE,2,64.7,17,19,5.0,2.83,2,1,5.3,52.6,10,0,9,9.1,26,1,6,201,69.5,58.9,58.6,57.7,0,1,26,0,44.4,72.3,15.4,4,3,0,0,1,0,0.0,140,7.4
Jaylen Henderson,146054,QB,W VIRGINIA,5,50.0,18,18,9.4,2.53,0,1,5.0,38.9,7,0,13,22.2,24,2,2,343,49.2,53.6,27.2,77.4,0,0,27,0,30.8,47.0,16.7,4,2,0,0,0,3,11.1,50,2.8
JacQai Long,184703,QB,MARSHALL,5,53.8,13,18,8.5,3.11,0,0,0.0,33.3,6,0,12,14.3,22,1,1,214,22.4,46.2,28.8,70.9,3,0,22,0,33.3,42.4,18.2,4,0,0,2,0,2,9.1,31,1.7
Mitch Griffis,123386,QB,TEXAS TECH,3,72.2,18,18,8.8,2.29,0,2,8.7,72.2,13,0,6,0.0,23,0,11,315,72.6,77.7,80.9,60.7,0,0,28,0,33.3,148.4,8.7,2,3,0,0,2,0,0.0,212,11.8
Joseph Filardi,199227,QB,SYRACUSE,1,25.0,16,18,11.4,3.5,0,2,10.5,22.2,4,0,9,0.0,24,0,2,304,17.7,42.3,39.8,62.2,0,0,26,1,22.2,39.6,8.3,2,4,0,2,0,1,3.8,39,2.2
Tramell Jones Jr.,200122,QB,FLORIDA,1,77.8,18,18,9.7,2.71,0,0,0.0,66.7,12,0,7,14.3,22,2,9,163,68.1,76.4,82.3,53.8,0,0,23,0,0.0,125.0,0.0,0,4,0,0,2,0,0.0,131,7.3
Kevin Sperry,198436,QB,FLORIDA ST,3,70.6,17,18,14.6,3.31,0,0,0.0,66.7,12,0,6,0.0,23,0,9,167,68.8,65.4,64.9,60.9,0,0,24,1,33.3,139.6,8.7,2,3,0,1,2,0,0.0,194,10.8
Josh Johnson,186429,QB,AIR FORCE,3,64.7,17,18,17.8,2.8,1,4,21.1,50.0,9,0,5,18.2,23,2,8,101,36.9,75.7,82.5,59.3,0,1,24,0,40.0,109.5,8.7,2,3,0,0,2,1,4.2,224,12.4
Hunter Najm,184223,QB,BOWL GREEN,2,42.9,14,17,13.9,2.49,1,2,10.5,35.3,6,0,4,0.0,20,0,5,122,67.4,54.7,50.5,68.3,0,1,22,0,25.0,26.1,5.0,1,2,2,0,0,1,4.5,78,4.6
Brayden Roggow,184145,QB,AKRON,2,71.4,14,16,6.6,2.37,0,0,0.0,62.5,10,0,3,0.0,16,0,5,102,68.8,65.2,60.4,66.7,0,0,16,0,0.0,75.3,0.0,0,0,0,2,0,0,0.0,81,5.1
Braedyn Locke,157141,QB,ARIZONA,3,40.0,15,16,8.7,2.54,0,0,0.0,37.5,6,0,6,0.0,19,0,3,109,69.8,35.2,30.1,61.5,1,1,22,0,50.0,25.3,15.8,3,0,0,0,0,2,9.1,69,4.3
Michael Van Buren Jr.,184764,QB,LSU,2,81.3,16,16,10.9,2.88,0,2,12.5,81.3,13,0,8,0.0,21,0,9,211,27.6,67.1,74.9,53.1,0,0,22,0,25.0,151.0,9.5,2,3,0,0,2,1,4.5,172,10.8
Devin Kargman,156913,QB,KENT STATE,2,53.3,15,16,10.1,2.18,0,0,0.0,43.8,7,0,10,12.5,19,1,3,201,66.8,51.6,50.4,,0,1,19,0,30.0,30.2,15.8,3,0,0,1,0,1,5.3,68,4.3
Billy Edwards Jr.,144185,QB,WISCONSIN,2,53.8,13,16,14.8,2.48,1,0,0.0,43.8,7,0,6,0.0,16,0,6,349,66.7,50.6,49.6,,0,0,17,0,0.0,68.0,0.0,0,0,0,2,0,0,0.0,113,7.1
Cole Ballard,173062,QB,KANSAS,4,60.0,15,16,9.6,2.51,0,0,0.0,43.8,7,0,5,22.2,18,2,5,198,33.0,62.9,54.8,66.1,1,1,18,0,20.0,31.0,5.6,1,1,0,0,0,0,0.0,71,4.4
Emory Williams,170099,QB,MIAMI FL,3,68.8,16,16,8.4,2.47,0,0,0.0,68.8,11,0,4,0.0,18,0,6,220,24.6,64.7,59.3,67.7,0,0,18,0,50.0,91.7,11.1,2,0,0,0,0,1,5.6,124,7.8
Husan Longstreet,199411,QB,USC,2,100.0,14,15,2.8,3.05,0,0,0.0,86.7,13,0,3,7.1,21,1,9,326,28.6,70.1,57.3,72.5,0,0,22,0,33.3,117.5,4.8,1,5,0,1,1,1,4.5,103,6.9
Ryan Puglisi,184571,QB,GEORGIA,4,78.6,14,15,10.2,2.66,1,0,0.0,60.0,9,0,4,18.2,17,2,6,173,69.5,81.1,86.6,57.4,0,2,17,0,0.0,65.8,0.0,0,2,0,0,1,1,5.9,112,7.5
Nick Evers,158082,QB,UCONN,2,73.3,15,15,7.5,2.22,0,0,0.0,66.7,10,0,1,9.1,15,1,5,146,67.3,63.2,63.0,59.7,0,0,15,0,0.0,109.0,0.0,0,0,0,0,1,0,0.0,105,7.0
Noah Walters,164315,QB,OKLA STATE,2,50.0,14,14,9.4,2.39,0,0,0.0,42.9,6,0,2,14.3,17,1,4,262,70.2,46.4,45.7,55.8,0,0,18,0,50.0,83.0,5.9,1,1,0,0,1,1,5.6,72,5.1
James Laubstein,190465,QB,NEW MEXICO,3,85.7,14,14,6.9,2.84,0,0,0.0,71.4,10,0,3,16.7,15,2,6,241,78.2,90.4,74.7,78.5,0,0,16,0,0.0,129.8,0.0,0,1,0,0,2,0,0.0,96,6.9
Khristian Martin,188254,QB,MARYLAND,4,78.6,14,14,7.4,2.09,0,0,0.0,57.1,8,0,4,27.3,16,3,1,215,68.9,59.4,55.3,64.1,0,0,17,0,25.0,62.2,6.3,1,1,0,0,0,0,0.0,39,2.8
Gaston Moore,123756,QB,USF,4,90.9,11,13,1.7,2.83,0,1,7.1,76.9,10,0,2,0.0,15,0,4,327,69.5,73.1,75.6,59.2,2,0,16,0,0.0,83.5,0.0,0,2,0,0,0,0,0.0,54,4.2
Drew Devillier,190639,QB,RICE,5,75.0,12,13,6.3,2.35,1,1,7.1,61.5,8,0,3,11.1,15,1,4,275,25.7,66.9,80.3,47.2,0,0,16,0,0.0,102.1,0.0,0,2,0,0,1,0,0.0,72,5.5
Shaker Reisig,199615,QB,BOSTON COL,2,50.0,12,13,10.5,2.98,1,2,15.4,46.2,6,0,8,0.0,18,0,5,121,27.9,55.9,50.5,66.0,0,1,18,0,25.0,62.7,11.1,2,3,0,0,1,1,5.6,89,6.8
Brock Thomas,176601,QB,OREGON,4,90.0,10,13,8.1,2.98,2,0,0.0,69.2,9,0,2,0.0,16,0,6,264,34.0,55.3,52.9,58.2,1,0,18,0,50.0,119.1,6.3,1,2,0,0,1,1,5.6,105,8.1
Kalieb Osborne,184132,QB,TOLEDO,3,75.0,12,12,13.4,2.73,0,2,14.3,75.0,9,0,6,0.0,18,0,8,316,37.1,83.0,68.5,78.1,0,0,20,0,16.7,137.8,5.6,1,4,0,0,1,0,0.0,131,10.9
Blaze Berlowitz,171066,QB,VANDERBILT,5,54.5,11,12,11.3,2.91,0,1,7.7,41.7,5,0,7,16.7,14,1,5,333,72.9,65.4,56.3,68.0,0,0,15,0,0.0,91.0,0.0,0,2,0,1,1,0,0.0,76,6.3
Tama Amisone,199154,QB,S JOSE ST,3,87.5,8,11,8.1,3.2,0,0,0.0,54.5,6,0,4,14.3,12,1,3,285,73.7,53.8,56.6,55.4,0,0,12,1,25.0,60.8,8.3,1,0,0,3,0,0,0.0,35,3.2
Austin Mack,171934,QB,ALABAMA,2,72.7,11,11,6.5,3.02,0,0,0.0,72.7,8,0,3,0.0,13,0,6,103,66.0,57.5,61.4,52.9,0,0,13,0,0.0,132.6,0.0,0,2,0,0,2,0,0.0,80,7.3
Christian Veilleux,145086,QB,GA STATE,1,50.0,10,11,4.4,2.21,1,0,0.0,36.4,4,0,4,20.0,13,1,2,175,68.6,58.1,52.2,64.2,0,1,13,0,0.0,44.5,0.0,0,2,0,0,1,1,7.7,52,4.7
Brandon Tennison,174109,QB,UTSA,3,88.9,9,11,7.0,2.11,2,1,8.3,63.6,7,0,3,12.5,13,1,3,331,69.4,63.0,68.1,58.0,0,0,14,1,33.3,119.5,7.7,1,1,0,0,1,0,0.0,90,8.2
Matthew Caldwell,150302,QB,TEXAS,4,72.7,11,11,12.5,2.16,0,0,0.0,72.7,8,0,1,0.0,11,0,6,311,68.5,90.3,83.3,76.1,0,0,11,0,0.0,125.2,0.0,0,0,0,0,1,0,0.0,85,7.7
Ui Ale,173036,QB,TROY,1,70.0,10,11,11.5,2.64,0,0,0.0,45.5,5,0,4,28.6,16,2,4,318,67.5,62.2,57.3,66.8,0,0,17,0,75.0,60.4,18.8,3,2,1,0,0,0,0.0,54,4.9
Nolan Good,198637,QB,KENT STATE,2,55.6,9,10,4.0,2.73,1,0,0.0,50.0,5,0,2,0.0,12,0,2,201,27.1,39.2,48.4,44.9,0,0,12,0,50.0,59.6,8.3,1,1,0,0,0,0,0.0,38,3.8
Jadyn Glasser,184670,QB,C MICHIGAN,1,87.5,8,10,5.0,2.76,0,0,0.0,70.0,7,0,10,0.0,13,0,5,134,71.6,80.3,71.2,72.9,1,0,14,0,20.0,92.9,15.4,2,1,1,0,0,0,0.0,78,7.8
Matthew Sluka,143059,QB,JAMES MAD,3,80.0,10,10,10.7,2.37,0,1,9.1,70.0,7,0,3,12.5,14,1,4,197,78.6,78.4,55.2,76.6,0,2,15,0,100.0,88.7,21.4,3,1,0,0,2,2,13.3,68,6.8
Xavier Ward,146492,QB,S JOSE ST,1,60.0,10,10,7.9,2.29,0,0,0.0,30.0,3,0,4,50.0,10,3,1,285,67.7,56.7,51.4,65.3,0,1,12,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,15,1.5
Turner Helton,163044,QB,GA SOUTHRN,2,66.7,9,10,7.1,2.35,0,0,0.0,50.0,5,0,2,16.7,11,1,2,174,66.0,50.0,52.1,57.0,0,0,13,0,0.0,56.3,0.0,0,1,0,1,0,0,0.0,25,2.5
Hauss Hejny,183824,QB,OKLA STATE,1,60.0,10,10,17.2,2.53,0,1,8.3,50.0,5,0,3,16.7,11,1,5,262,68.6,74.8,73.1,64.5,0,0,13,0,0.0,117.1,0.0,0,1,0,0,1,0,0.0,96,9.6
Quinn Henicle,190064,QB,DOMINION,3,50.0,10,10,7.2,3.03,0,0,0.0,40.0,4,0,4,20.0,12,1,1,263,36.3,65.2,41.7,77.1,0,0,14,1,50.0,47.9,16.7,2,0,0,0,0,2,14.3,22,2.2
Kamario Taylor,198868,QB,MISS STATE,4,55.6,9,9,17.4,2.75,0,2,20.0,55.6,5,0,5,0.0,11,0,5,227,76.3,86.1,68.1,80.0,0,0,12,0,0.0,128.2,0.0,0,2,0,0,3,1,8.3,87,9.7
AJ Surace,184666,QB,RUTGERS,2,55.6,9,9,16.4,2.57,0,0,0.0,44.4,4,0,2,20.0,11,1,3,278,65.8,66.3,65.4,,0,0,12,0,100.0,105.6,18.2,2,0,0,0,2,0,0.0,58,6.4
Brady Allen,156493,QB,LOUISVILLE,2,88.9,9,9,11.1,2.32,0,1,9.1,66.7,6,0,1,25.0,9,2,2,210,65.6,66.9,67.3,,0,1,11,0,0.0,87.0,0.0,0,0,0,0,1,1,9.1,69,7.7
Jordan Magwood,199666,QB,FAU,2,87.5,8,9,8.5,2.95,0,0,0.0,77.8,7,0,3,0.0,11,0,4,165,66.7,71.7,75.4,57.8,1,0,11,0,0.0,95.8,0.0,0,2,0,0,0,0,0.0,63,7.0
Kenny Minchey,171091,QB,NOTRE DAME,2,88.9,9,9,11.0,2.95,0,1,11.1,88.9,8,0,5,0.0,11,0,4,258,70.5,80.8,89.9,56.2,0,0,11,1,0.0,110.6,0.0,0,2,0,0,0,0,0.0,95,10.6
Brock Glenn,170335,QB,FLORIDA ST,3,75.0,8,9,5.8,2.43,1,0,0.0,55.6,5,0,3,16.7,11,1,4,167,69.2,71.2,62.3,69.6,0,0,12,0,33.3,117.6,9.1,1,1,0,0,2,0,0.0,64,7.1
Zach Marker,173615,QB,DELAWARE,1,62.5,8,8,5.6,2.18,0,0,0.0,37.5,3,0,1,40.0,9,2,2,151,66.3,69.5,61.6,68.9,0,0,9,0,0.0,45.8,0.0,0,1,0,0,0,0,0.0,21,2.6
Landon Sims,200048,QB,WYOMING,4,100.0,8,8,5.1,2.73,0,1,12.5,75.0,6,0,3,25.0,10,2,4,351,73.8,87.0,80.2,74.0,0,0,10,0,33.3,124.0,10.0,1,1,0,0,1,0,0.0,38,4.8
Lincoln Kienholz,170256,QB,OHIO STATE,2,87.5,8,8,5.8,2.6,0,0,0.0,87.5,7,0,0,0.0,8,0,6,260,71.6,91.2,87.5,75.9,0,0,8,0,,151.0,0.0,0,0,0,0,1,0,0.0,86,10.8
Nick Poulos,188474,QB,OHIO,1,57.1,7,8,7.7,2.61,0,0,0.0,50.0,4,0,3,0.0,12,0,3,259,70.5,52.9,39.8,66.7,1,0,13,0,66.7,56.3,16.7,2,2,0,0,0,0,0.0,19,2.4
KJ Jackson,184386,QB,ARKANSAS,3,87.5,8,8,7.1,3.19,0,0,0.0,75.0,6,0,3,14.3,11,1,5,111,66.8,80.7,85.3,59.4,0,0,12,0,0.0,156.3,0.0,0,3,0,0,1,0,0.0,109,13.6
Cole Feuerbacher,171447,QB,MO STATE,2,87.5,8,8,4.9,2.5,0,0,0.0,75.0,6,0,1,14.3,8,1,1,230,20.8,61.3,74.8,45.3,0,0,9,0,0.0,79.2,0.0,0,0,0,0,0,0,0.0,28,3.5
Bert Emanuel Jr.,158581,QB,S DIEGO ST,4,83.3,6,8,1.0,2.93,0,0,0.0,62.5,5,0,3,0.0,9,0,2,284,77.1,70.1,55.3,71.2,0,0,10,1,33.3,73.4,11.1,1,0,0,2,0,0,0.0,37,4.6
Braxton Woodson,175276,QB,NAVY,2,50.0,8,8,11.3,2.51,0,0,0.0,50.0,4,0,2,0.0,9,0,4,237,73.4,92.5,61.1,94.2,0,0,9,0,0.0,69.3,0.0,0,1,0,0,0,0,0.0,49,6.1
Nate Bennett,184815,QB,BAYLOR,1,71.4,7,7,6.6,2.57,0,0,0.0,71.4,5,0,1,0.0,7,0,2,118,64.6,69.6,68.8,,0,0,7,0,0.0,81.8,0.0,0,0,0,0,0,0,0.0,34,4.9
George MacIntyre,199971,QB,TENNESSEE,1,85.7,7,7,7.1,2.84,0,0,0.0,85.7,6,0,2,0.0,7,0,4,307,64.6,62.4,61.9,,0,0,7,0,0.0,97.6,0.0,0,0,0,0,0,0,0.0,52,7.4
Reese Poffenbarger,145346,QB,N TEXAS,2,85.7,7,7,8.6,2.73,0,0,0.0,71.4,5,0,1,16.7,8,1,3,251,69.0,53.9,44.2,64.3,0,0,8,0,0.0,83.0,0.0,0,1,0,0,0,1,12.5,36,5.1
Patrick Crayton Jr.,204285,QB,RICE,2,80.0,5,7,-1.8,1.97,1,0,0.0,57.1,4,0,5,0.0,9,0,1,275,23.3,42.3,33.7,58.5,1,1,9,0,40.0,22.6,22.2,2,0,0,0,0,1,11.1,20,2.9
Billy Wiles,144144,QB,APP STATE,2,85.7,7,7,7.1,2.81,0,0,0.0,85.7,6,0,5,0.0,12,0,4,108,20.3,54.5,52.9,60.6,0,1,13,0,60.0,96.4,25.0,3,2,0,0,1,2,15.4,50,7.1
Miles O'Neill,191260,QB,TEXAS A&M,2,71.4,7,7,14.7,3.54,0,2,28.6,57.1,4,0,4,20.0,10,1,2,312,68.4,75.8,85.0,54.3,0,1,10,0,25.0,101.8,10.0,1,2,0,0,1,0,0.0,101,14.4
Devin Brown,156479,QB,CAL,4,57.1,7,7,11.3,3.6,0,0,0.0,57.1,4,0,4,0.0,9,0,3,130,66.3,44.9,43.2,59.7,0,1,9,0,50.0,78.3,22.2,2,0,0,0,1,1,11.1,48,6.9
Brady Lichtenberg,144226,QB,CINCINNATI,1,66.7,6,6,6.3,2.51,0,1,16.7,66.7,4,0,2,0.0,7,0,4,138,65.9,79.7,72.9,68.8,0,0,7,0,0.0,136.1,0.0,0,1,0,0,1,0,0.0,56,9.3
Ken Seals,124359,QB,TCU,2,66.7,6,6,6.5,2.23,0,0,0.0,66.7,4,0,2,0.0,6,0,1,305,65.7,48.6,41.0,60.0,0,1,6,0,0.0,34.7,0.0,0,0,0,0,0,1,16.7,24,4.0
Jackson Proctor,148851,QB,N ILLINOIS,1,60.0,5,6,1.8,1.85,1,0,0.0,33.3,2,0,1,33.3,6,1,0,254,67.0,51.9,47.8,60.5,0,0,6,0,0.0,42.4,0.0,0,0,0,0,0,0,0.0,8,1.3
Lex Thomas,170381,QB,NC STATE,1,50.0,4,6,13.0,3.78,0,0,0.0,33.3,2,0,3,0.0,6,0,1,248,10.3,37.0,35.4,,0,0,6,0,0.0,42.4,0.0,0,0,0,2,0,1,16.7,18,3.0
Shay Smith,188323,QB,UTEP,3,33.3,6,6,9.3,2.7,0,0,0.0,33.3,2,0,1,0.0,6,0,0,330,73.5,35.4,24.8,65.4,0,0,8,0,0.0,42.4,0.0,0,0,0,0,0,2,25.0,5,0.8
Keelon Russell,198077,QB,ALABAMA,1,83.3,6,6,7.5,2.6,0,1,14.3,66.7,4,0,1,20.0,6,1,4,103,65.9,76.4,79.3,58.7,0,0,7,0,0.0,142.4,0.0,0,0,0,0,2,0,0.0,65,10.8
Ethan Houck,198664,QB,LIBERTY,2,20.0,5,6,17.4,2.69,1,1,16.7,16.7,1,0,1,0.0,7,0,1,206,71.6,42.0,27.2,70.9,0,1,7,1,100.0,0.0,14.3,1,0,0,0,0,2,28.6,17,2.8
Cutter Woods,199951,QB,S CAROLINA,1,66.7,6,6,14.3,2.7,0,0,0.0,66.7,4,0,3,0.0,8,0,4,289,64.9,77.3,68.5,71.0,0,1,8,0,0.0,50.0,0.0,0,2,0,0,0,0,0.0,46,7.7
Luke Moga,184857,QB,OREGON,2,80.0,5,5,5.6,2.23,0,0,0.0,60.0,3,0,0,25.0,6,1,2,264,68.1,75.9,61.0,75.1,0,0,7,0,,100.4,0.0,0,1,0,0,0,0,0.0,58,11.6
Alex Manske,198567,QB,IOWA STATE,1,80.0,5,5,3.4,2.5,0,0,0.0,80.0,4,0,0,0.0,7,0,3,193,69.0,62.1,58.3,62.0,0,0,8,0,,90.0,0.0,0,2,0,0,0,0,0.0,28,5.6
Banks Bowen,204187,QB,OKLA STATE,2,60.0,5,5,2.8,2.96,0,0,0.0,60.0,3,0,3,0.0,7,0,1,262,18.4,28.0,21.8,72.2,0,0,8,0,33.3,64.6,14.3,1,1,0,0,0,2,25.0,4,0.8
Jalyn Gramstad,180656,QB,NEBRASKA,2,100.0,5,5,1.0,1.5,0,0,0.0,100.0,5,0,0,0.0,5,0,0,238,63.8,65.2,64.4,,0,0,5,0,,80.0,0.0,0,0,0,0,0,0,0.0,16,3.2
Henry Belin IV,162693,QB,DUKE,1,40.0,5,5,25.0,3.92,0,0,0.0,40.0,2,0,1,0.0,5,0,1,154,71.1,63.6,52.3,67.4,0,0,5,0,0.0,53.8,0.0,0,0,0,0,0,0,0.0,22,4.4
Mike Wright Jr.,124366,QB,E CAROLINA,1,80.0,5,5,3.6,2.26,0,0,0.0,60.0,3,0,2,25.0,5,1,0,156,75.3,70.6,60.4,73.6,0,0,5,0,0.0,64.6,0.0,0,0,0,0,0,0,0.0,13,2.6
Tommy Ulatowski,163150,QB,KENNESAW,2,75.0,4,5,4.0,2.2,0,0,0.0,60.0,3,0,2,0.0,5,0,0,200,68.9,51.7,51.1,58.1,0,0,5,0,0.0,64.6,0.0,0,0,0,1,0,0,0.0,9,1.8
Max Shikenjanski,173421,QB,MINNESOTA,1,100.0,5,5,8.6,2.47,0,1,20.0,80.0,4,0,2,20.0,6,1,2,225,65.7,81.4,79.7,63.0,0,0,6,0,50.0,158.3,16.7,1,0,0,0,1,0,0.0,80,16.0
Deuce Knight,198161,QB,AUBURN,1,60.0,5,5,5.2,2.33,0,0,0.0,40.0,2,0,2,33.3,8,1,3,115,7.9,24.4,20.2,71.4,0,0,8,0,100.0,52.1,25.0,2,1,0,0,0,3,37.5,20,4.0
Kai Horton,144418,QB,WASHINGTON,1,60.0,5,5,22.2,3.37,0,0,0.0,60.0,3,0,1,0.0,7,0,4,340,65.9,68.1,56.2,70.9,0,0,7,0,0.0,93.8,0.0,0,2,0,0,0,1,14.3,50,10.0
Will Wilson,198972,QB,NC STATE,1,60.0,5,5,8.0,2.12,0,0,0.0,60.0,3,0,1,0.0,5,0,2,248,34.0,58.7,29.1,68.8,0,1,5,0,0.0,25.8,0.0,0,0,0,0,0,1,20.0,16,3.2
McCae Hillstead,174761,QB,BYU,1,80.0,5,5,-2.0,1.7,0,0,0.0,80.0,4,0,0,0.0,5,0,1,128,67.9,66.6,58.8,65.8,0,0,5,0,,94.2,0.0,0,0,0,0,0,0,0.0,33,6.6
Jacurri Brown,156344,QB,UCF,2,60.0,5,5,12.2,2.84,0,0,0.0,60.0,3,0,3,0.0,9,0,3,323,18.7,50.9,37.4,60.3,0,1,9,0,0.0,104.2,0.0,0,3,0,0,1,1,11.1,97,19.4
Hunter Herring,147138,QB,LA MONROE,5,60.0,5,5,16.8,3.42,0,0,0.0,60.0,3,0,1,0.0,6,0,4,209,36.8,62.2,55.7,60.9,0,1,7,1,0.0,104.2,0.0,0,1,0,0,1,1,14.3,68,13.6
Luke Kromenhoek,183305,QB,MISS STATE,2,100.0,3,4,8.3,2.66,1,0,0.0,50.0,2,0,1,33.3,5,1,2,227,67.9,82.2,69.6,72.9,0,0,5,0,0.0,64.6,0.0,0,1,0,0,0,0,0.0,20,5.0
Chaston Ditta,198345,QB,E CAROLINA,1,100.0,4,4,6.5,1.55,0,0,0.0,75.0,3,0,0,25.0,4,1,2,156,65.2,68.2,67.1,60.0,0,0,4,0,,141.7,0.0,0,0,0,0,1,0,0.0,36,9.0
Deante Ruffin,198632,QB,KENT STATE,1,75.0,4,4,12.5,3.1,0,0,0.0,75.0,3,0,6,0.0,9,0,1,201,66.5,47.8,54.0,51.2,0,0,10,0,33.3,116.7,22.2,2,3,0,0,0,0,0.0,50,12.5
Ethan Hampton,145858,QB,ILLINOIS,2,75.0,4,4,10.0,2.05,0,0,0.0,75.0,3,0,1,0.0,4,0,1,187,70.4,64.4,62.1,62.0,0,1,4,0,0.0,53.1,0.0,0,0,0,0,0,0,0.0,27,6.8
Parker Kingston,163251,WR,BYU,4,0.0,3,4,27.0,4.22,0,0,0.0,0.0,0,0,2,,5,0,0,128,39.6,71.3,45.7,68.7,0,0,5,4,0.0,39.6,0.0,0,1,0,1,0,0,0.0,0,0.0
Whitt Newbauer,188566,QB,OKLAHOMA,2,50.0,4,4,6.0,2.08,0,0,0.0,50.0,2,0,1,0.0,5,0,1,261,67.0,62.5,50.3,70.1,0,0,6,0,100.0,56.3,20.0,1,0,0,0,0,0,0.0,6,1.5
Lucas Scheerhorn,190304,QB,RICE,1,100.0,4,4,6.8,2.74,0,0,0.0,75.0,3,0,2,25.0,5,1,1,275,66.8,62.0,72.1,52.8,0,0,5,0,0.0,89.6,0.0,0,1,0,0,0,0,0.0,24,6.0
Deuce Adams,190581,QB,LOUISVILLE,2,100.0,4,4,4.8,2.35,0,0,0.0,75.0,3,0,1,25.0,4,1,1,210,68.8,73.7,80.9,61.1,0,0,4,0,0.0,83.3,0.0,0,0,0,0,0,0,0.0,18,4.5
Anthony Garcia,174863,QB,UTAH ST,5,100.0,4,4,10.0,3.15,0,1,16.7,100.0,4,0,1,0.0,4,0,3,329,71.9,65.5,80.4,83.3,0,0,6,1,0.0,158.3,0.0,0,0,0,0,2,0,0.0,53,13.3
Luke Carney,199218,QB,SYRACUSE,2,66.7,3,3,6.0,3.43,0,0,0.0,66.7,2,0,2,0.0,6,0,2,304,69.7,67.0,63.7,63.4,0,0,6,0,50.0,71.5,16.7,1,2,0,0,0,0,0.0,10,3.3
Whit Muschamp,188521,QB,VANDERBILT,1,100.0,3,3,2.7,2.0,0,0,0.0,66.7,2,0,0,33.3,3,1,1,333,66.4,66.0,58.8,64.7,0,0,3,0,,109.7,0.0,0,0,0,0,0,0,0.0,40,13.3
Keldric Luster,175287,QB,TEXAS ST,2,66.7,3,3,10.3,2.57,0,0,0.0,33.3,1,0,1,50.0,3,1,1,314,67.7,74.5,76.4,61.7,0,0,3,0,0.0,49.3,0.0,0,0,0,0,0,0,0.0,14,4.7
Dermaricus Davis,190930,QB,HAWAII,1,33.3,3,3,16.0,2.87,0,0,0.0,33.3,1,0,1,0.0,3,0,1,180,71.1,82.2,53.6,81.8,0,0,3,0,0.0,43.8,0.0,0,0,0,0,0,0,0.0,10,3.3
Stephen Kittleman,126906,QB,TULSA,1,66.7,3,3,9.0,1.3,0,0,0.0,66.7,2,0,0,0.0,3,0,1,320,68.8,77.0,71.1,66.8,0,0,4,0,,82.6,0.0,0,0,0,0,0,0,0.0,18,6.0
D.J. McKinney,175620,HB,NEW MEXICO,2,50.0,2,3,4.5,3.23,0,0,0.0,33.3,1,1,2,0.0,3,0,1,241,85.3,69.3,65.8,73.1,1,0,3,1,0.0,81.9,0.0,0,0,0,0,1,0,0.0,9,3.0
